state,sale_start,sale_end,sale_key,revenue
California,2014-12-23,2014-12-25,140,539.0
New York,2014-01-20,2014-01-22,141,877.0
Mississippi,2014-02-26,2014-03-01,142,836.0
Nebraska,2014-03-02,2014-03-02,143,789.0
Idaho,2014-12-15,2014-12-16,144,1312.0
Oklahoma,2014-03-23,2014-03-26,145,577.0
New Mexico,2014-09-14,2014-09-17,146,1063.0
Louisiana,2014-12-09,2014-12-11,147,1297.0
Louisiana,2014-05-31,2014-06-01,148,1678.0
Montana,2014-08-21,2014-08-23,149,817.0
Oklahoma,2014-05-19,2014-05-22,150,485.0
Georgia,2014-10-19,2014-10-19,151,1234.0
Alaska,2014-06-14,2014-06-17,152,661.0
Florida,2014-04-16,2014-04-18,153,971.0
New Mexico,2014-08-19,2014-08-22,154,1342.0
Oregon,2014-11-19,2014-11-19,155,789.0
Alaska,2014-01-01,2014-01-04,156,678.0
Florida,2014-11-02,2014-11-04,157,872.0
Mississippi,2014-06-15,2014-06-18,158,605.0
Arkansas,2014-09-01,2014-09-02,159,1211.0
Mississippi,2014-05-19,2014-05-22,160,461.0
Oregon,2014-03-28,2014-03-29,161,872.0
Montana,2014-05-11,2014-05-12,162,987.0
Ohio,2014-01-22,2014-01-25,163,651.0
Illinois,2014-10-29,2014-10-30,164,1195.0
Louisiana,2014-11-26,2014-11-29,165,1403.0
Mississippi,2014-01-01,2014-01-02,166,721.0
Idaho,2014-04-20,2014-04-22,167,1418.0
Iowa,2014-08-14,2014-08-14,168,1182.0
Montana,2014-09-04,2014-09-06,169,902.0
Oklahoma,2014-08-27,2014-08-29,170,569.0
Maine,2014-01-08,2014-01-09,171,387.0
Ohio,2014-04-24,2014-04-25,172,675.0
Alaska,2014-09-21,2014-09-21,173,725.0
Maine,2014-03-26,2014-03-26,174,324.0
Maine,2014-06-29,2014-06-30,175,369.0
Indiana,2014-05-06,2014-05-06,176,575.0
New Mexico,2014-12-10,2014-12-11,177,1069.0
Ohio,2014-03-04,2014-03-07,178,655.0
Georgia,2014-11-05,2014-11-07,179,1307.0
Arkansas,2014-12-05,2014-12-07,180,1159.0
Oklahoma,2014-03-30,2014-04-02,181,502.0
California,2014-08-04,2014-08-04,182,678.0
Louisiana,2014-02-25,2014-02-28,183,1554.0
Delaware,2014-05-15,2014-05-15,184,996.0
Kansas,2014-12-25,2014-12-27,185,1060.0
Texas,2014-12-03,2014-12-04,186,1109.0
Nebraska,2014-03-16,2014-03-17,187,671.0
Florida,2014-10-01,2014-10-02,188,822.0
Alaska,2014-01-03,2014-01-04,189,727.0
Arkansas,2014-11-11,2014-11-11,190,1175.0
Montana,2014-10-08,2014-10-10,191,908.0
Mississippi,2014-02-04,2014-02-04,192,729.0
Missouri,2014-10-21,2014-10-22,193,1072.0
Oklahoma,2014-01-23,2014-01-25,194,657.0
Alaska,2014-05-18,2014-05-19,195,580.0
Missouri,2014-03-06,2014-03-07,196,1324.0
Mississippi,2014-04-17,2014-04-20,197,701.0
Oregon,2014-03-18,2014-03-20,198,971.0
Missouri,2014-08-30,2014-09-02,199,1310.0
Oklahoma,2014-04-18,2014-04-18,200,488.0
Iowa,2014-10-05,2014-10-06,201,1094.0
Arkansas,2014-12-06,2014-12-06,202,1205.0
Mississippi,2014-06-06,2014-06-09,203,516.0
Louisiana,2014-12-09,2014-12-12,204,1409.0
Idaho,2014-04-28,2014-04-28,205,1354.0
Idaho,2014-05-27,2014-05-28,206,1399.0
Montana,2014-11-21,2014-11-24,207,732.0
Missouri,2014-11-03,2014-11-06,208,1248.0
Mississippi,2014-06-27,2014-06-28,209,740.0
Texas,2014-12-22,2014-12-24,210,1079.0
New Mexico,2014-10-22,2014-10-25,211,907.0
Oregon,2014-09-20,2014-09-20,212,747.0
Nevada,2014-07-07,2014-07-08,213,584.0
Idaho,2014-12-04,2014-12-05,214,1328.0
Louisiana,2014-08-19,2014-08-21,215,1443.0
Montana,2014-10-15,2014-10-16,216,859.0
Maine,2014-05-28,2014-05-28,217,386.0
Arkansas,2014-07-08,2014-07-08,218,1303.0
Washington,2014-11-02,2014-11-04,219,965.0
Louisiana,2014-12-07,2014-12-09,220,1265.0
Oregon,2014-01-13,2014-01-16,221,665.0
Arkansas,2014-10-31,2014-10-31,222,1126.0
Washington,2014-06-28,2014-07-01,223,902.0
Idaho,2014-07-04,2014-07-04,224,1244.0
New York,2014-05-23,2014-05-24,225,709.0
Florida,2014-02-28,2014-02-28,226,899.0
Georgia,2014-10-17,2014-10-20,227,1205.0
Arkansas,2014-08-08,2014-08-08,228,1283.0
Montana,2014-10-02,2014-10-02,229,762.0
New York,2014-03-08,2014-03-08,230,713.0
New Mexico,2014-09-13,2014-09-14,231,1230.0
Alaska,2014-05-14,2014-05-14,232,466.0
Georgia,2014-11-04,2014-11-04,233,1213.0
Texas,2014-08-29,2014-09-01,234,1157.0
Kansas,2014-05-30,2014-05-31,235,1161.0
Oklahoma,2014-04-25,2014-04-28,236,697.0
Idaho,2014-07-14,2014-07-14,237,1298.0
New York,2014-07-06,2014-07-07,238,531.0
Indiana,2014-04-28,2014-04-29,239,632.0
Washington,2014-11-17,2014-11-17,240,933.0
Kansas,2014-05-22,2014-05-23,241,1126.0
Idaho,2014-07-02,2014-07-05,242,1299.0
Georgia,2014-09-15,2014-09-15,243,1256.0
Nevada,2014-07-28,2014-07-31,244,369.0
Louisiana,2014-11-27,2014-11-27,245,1376.0
Delaware,2014-11-08,2014-11-11,246,636.0
Ohio,2014-04-22,2014-04-23,247,780.0
Montana,2014-11-25,2014-11-25,248,705.0
Louisiana,2014-08-25,2014-08-26,249,1439.0
Texas,2014-03-01,2014-03-04,250,1371.0
Florida,2014-07-22,2014-07-25,251,859.0
Delaware,2014-11-18,2014-11-19,252,861.0
Nebraska,2014-08-27,2014-08-27,253,498.0
Ohio,2014-03-07,2014-03-10,254,453.0
New Mexico,2014-09-21,2014-09-21,255,1117.0
Iowa,2014-06-05,2014-06-07,256,1354.0
Alaska,2014-03-30,2014-03-30,257,733.0
Indiana,2014-10-23,2014-10-25,258,492.0
Maine,2014-11-08,2014-11-11,259,314.0
Nevada,2014-03-24,2014-03-25,260,606.0
Arkansas,2014-09-01,2014-09-02,261,1214.0
Oregon,2014-02-10,2014-02-11,262,786.0
New York,2014-09-04,2014-09-06,263,599.0
Florida,2014-12-18,2014-12-20,264,990.0
Florida,2014-09-21,2014-09-22,265,900.0
Iowa,2014-10-12,2014-10-12,266,1109.0
Arkansas,2014-12-26,2014-12-26,267,1235.0
Indiana,2014-02-09,2014-02-09,268,563.0
Alaska,2014-03-16,2014-03-19,269,809.0
Texas,2014-12-05,2014-12-05,270,1124.0
Delaware,2014-11-07,2014-11-09,271,784.0
Iowa,2014-09-27,2014-09-29,272,1334.0
California,2014-05-31,2014-06-02,273,656.0
California,2014-06-08,2014-06-10,274,557.0
California,2014-01-21,2014-01-23,275,711.0
Oregon,2014-02-27,2014-02-28,276,846.0
New York,2014-07-23,2014-07-24,277,945.0
Texas,2014-02-28,2014-03-01,278,1370.0
New York,2014-02-07,2014-02-07,279,742.0
Mississippi,2014-04-14,2014-04-16,280,618.0
Texas,2014-08-25,2014-08-28,281,1277.0
Kansas,2014-08-25,2014-08-26,282,1029.0
Maine,2014-02-10,2014-02-11,283,391.0
Florida,2014-06-19,2014-06-22,284,929.0
Oregon,2014-02-19,2014-02-19,285,817.0
Missouri,2014-07-07,2014-07-09,286,1077.0
Washington,2014-03-12,2014-03-13,287,1025.0
Indiana,2014-07-18,2014-07-21,288,581.0
Arkansas,2014-08-07,2014-08-10,289,1106.0
Ohio,2014-06-19,2014-06-20,290,752.0
Oklahoma,2014-08-07,2014-08-07,291,635.0
California,2014-01-01,2014-01-04,292,740.0
Washington,2014-04-19,2014-04-19,293,1177.0
New York,2014-03-17,2014-03-19,294,846.0
Nebraska,2014-08-25,2014-08-25,295,693.0
Delaware,2014-09-22,2014-09-24,296,950.0
New York,2014-06-04,2014-06-06,297,802.0
New Mexico,2014-08-15,2014-08-15,298,1230.0
Maine,2014-05-11,2014-05-14,299,182.0
Indiana,2014-08-30,2014-09-02,300,494.0
Idaho,2014-05-26,2014-05-29,301,1514.0
Florida,2014-10-05,2014-10-06,302,795.0
Ohio,2014-01-20,2014-01-22,303,620.0
Maine,2014-01-23,2014-01-24,304,290.0
New York,2014-07-27,2014-07-30,305,746.0
New York,2014-03-12,2014-03-15,306,777.0
Oregon,2014-05-10,2014-05-12,307,619.0
Georgia,2014-09-24,2014-09-25,308,1216.0
Arkansas,2014-07-08,2014-07-08,309,1159.0
New York,2014-08-26,2014-08-29,310,833.0
Idaho,2014-08-11,2014-08-14,311,1188.0
Oklahoma,2014-04-06,2014-04-07,312,586.0
Louisiana,2014-12-10,2014-12-12,313,1314.0
Nevada,2014-03-25,2014-03-27,314,495.0
Alaska,2014-05-02,2014-05-04,315,464.0
Mississippi,2014-01-21,2014-01-21,316,707.0
Nevada,2014-06-01,2014-06-03,317,517.0
Mississippi,2014-08-16,2014-08-16,318,560.0
Kansas,2014-09-28,2014-10-01,319,1124.0
Maine,2014-01-06,2014-01-06,320,486.0
Florida,2014-07-23,2014-07-23,321,920.0
California,2014-12-10,2014-12-11,322,564.0
Missouri,2014-11-02,2014-11-02,323,1093.0
Florida,2014-09-03,2014-09-05,324,873.0
California,2014-08-22,2014-08-25,325,643.0
Iowa,2014-10-09,2014-10-12,326,1112.0
Oklahoma,2014-09-03,2014-09-04,327,568.0
Maine,2014-01-27,2014-01-27,328,457.0
Louisiana,2014-06-26,2014-06-27,329,1548.0
Illinois,2014-11-24,2014-11-24,330,1424.0
Arkansas,2014-08-12,2014-08-13,331,1095.0
Maine,2014-05-08,2014-05-10,332,219.0
Idaho,2014-05-21,2014-05-22,333,1531.0
Ohio,2014-04-21,2014-04-21,334,764.0
Ohio,2014-05-12,2014-05-12,335,677.0
Kansas,2014-08-22,2014-08-23,336,1152.0
Alaska,2014-02-05,2014-02-08,337,733.0
Maine,2014-01-13,2014-01-13,338,502.0
Missouri,2014-07-10,2014-07-10,339,1150.0
New Mexico,2014-11-12,2014-11-14,340,1190.0
Oklahoma,2014-08-30,2014-09-01,341,531.0
Kansas,2014-06-25,2014-06-28,342,1227.0
Mississippi,2014-03-12,2014-03-14,343,607.0
Nebraska,2014-05-21,2014-05-21,344,790.0
New Mexico,2014-11-14,2014-11-14,345,1178.0
Oregon,2014-02-10,2014-02-11,346,607.0
Iowa,2014-07-10,2014-07-11,347,1085.0
New York,2014-01-01,2014-01-01,348,848.0
Georgia,2014-11-08,2014-11-11,349,1108.0
Arkansas,2014-11-11,2014-11-14,350,1245.0
Arkansas,2014-08-24,2014-08-27,351,1236.0
Delaware,2014-10-11,2014-10-12,352,922.0
Ohio,2014-02-19,2014-02-22,353,678.0
Texas,2014-11-09,2014-11-12,354,1266.0
Arkansas,2014-12-14,2014-12-16,355,1341.0
Texas,2014-11-08,2014-11-08,356,1206.0
Kansas,2014-11-04,2014-11-05,357,976.0
Missouri,2014-11-10,2014-11-13,358,937.0
Oklahoma,2014-02-03,2014-02-05,359,600.0
Kansas,2014-09-29,2014-10-01,360,1030.0
Florida,2014-12-18,2014-12-19,361,740.0
Texas,2014-09-13,2014-09-16,362,1188.0
Nevada,2014-11-05,2014-11-06,363,492.0
Oklahoma,2014-01-20,2014-01-23,364,602.0
Florida,2014-11-25,2014-11-27,365,988.0
Florida,2014-06-08,2014-06-09,366,891.0
Alaska,2014-10-18,2014-10-21,367,680.0
Florida,2014-11-17,2014-11-19,368,821.0
Oklahoma,2014-05-04,2014-05-06,369,679.0
New Mexico,2014-07-05,2014-07-06,370,1157.0
Delaware,2014-04-19,2014-04-21,371,998.0
Oregon,2014-06-09,2014-06-11,372,799.0
Ohio,2014-03-14,2014-03-17,373,710.0
Florida,2014-12-20,2014-12-21,374,777.0
Mississippi,2014-02-14,2014-02-14,375,589.0
Iowa,2014-11-23,2014-11-23,376,922.0
Delaware,2014-08-30,2014-09-02,377,934.0
California,2014-03-24,2014-03-26,378,716.0
Louisiana,2014-06-23,2014-06-23,379,1356.0
Oklahoma,2014-07-26,2014-07-27,380,474.0
New Mexico,2014-10-12,2014-10-15,381,1198.0
Nevada,2014-02-19,2014-02-20,382,449.0
Indiana,2014-06-11,2014-06-11,383,567.0
Washington,2014-04-08,2014-04-11,384,1041.0
Texas,2014-02-27,2014-03-01,385,1553.0
Louisiana,2014-12-22,2014-12-25,386,1339.0
Nevada,2014-04-14,2014-04-16,387,553.0
Nebraska,2014-06-11,2014-06-12,388,695.0
Montana,2014-08-22,2014-08-23,389,944.0
Illinois,2014-10-01,2014-10-02,390,1451.0
Indiana,2014-06-21,2014-06-22,391,634.0
Idaho,2014-11-23,2014-11-25,392,1399.0
Oklahoma,2014-03-15,2014-03-16,393,603.0
Oregon,2014-09-27,2014-09-28,394,795.0
Illinois,2014-03-21,2014-03-24,395,1562.0
Maine,2014-01-27,2014-01-27,396,508.0
Indiana,2014-10-23,2014-10-24,397,658.0
Illinois,2014-06-21,2014-06-24,398,1667.0
Delaware,2014-08-06,2014-08-06,399,692.0
New York,2014-01-18,2014-01-20,400,853.0
Nevada,2014-06-20,2014-06-20,401,484.0
Montana,2014-06-03,2014-06-03,402,1031.0
California,2014-03-26,2014-03-29,403,733.0
Indiana,2014-06-01,2014-06-03,404,506.0
Montana,2014-03-31,2014-04-01,405,992.0
Washington,2014-09-01,2014-09-02,406,971.0
Nevada,2014-05-02,2014-05-05,407,479.0
Montana,2014-10-08,2014-10-11,408,840.0
New Mexico,2014-08-18,2014-08-21,409,1076.0
Oregon,2014-03-14,2014-03-17,410,751.0
Mississippi,2014-06-15,2014-06-16,411,690.0
New York,2014-01-10,2014-01-12,412,667.0
Iowa,2014-09-29,2014-10-01,413,1218.0
Mississippi,2014-08-30,2014-09-01,414,722.0
Arkansas,2014-11-07,2014-11-08,415,1122.0
Illinois,2014-12-20,2014-12-23,416,1275.0
Alaska,2014-04-08,2014-04-11,417,722.0
California,2014-03-09,2014-03-10,418,713.0
Ohio,2014-03-05,2014-03-05,419,799.0
Montana,2014-10-23,2014-10-25,420,803.0
Nebraska,2014-03-18,2014-03-19,421,766.0
New Mexico,2014-11-22,2014-11-24,422,1119.0
New York,2014-09-22,2014-09-23,423,702.0
Florida,2014-10-16,2014-10-16,424,1067.0
Georgia,2014-09-25,2014-09-26,425,1317.0
Oklahoma,2014-12-02,2014-12-05,426,573.0
Iowa,2014-12-24,2014-12-26,427,1028.0
Kansas,2014-11-28,2014-11-30,428,1202.0
Alaska,2014-09-06,2014-09-08,429,678.0
Indiana,2014-06-11,2014-06-14,430,648.0
Indiana,2014-12-21,2014-12-21,431,458.0
Delaware,2014-09-23,2014-09-25,432,792.0
Georgia,2014-11-01,2014-11-04,433,1250.0
Nebraska,2014-05-30,2014-05-30,434,838.0
New York,2014-04-09,2014-04-09,435,509.0
New Mexico,2014-09-22,2014-09-23,436,1097.0
New Mexico,2014-06-09,2014-06-12,437,1269.0
Iowa,2014-07-12,2014-07-13,438,1187.0
Kansas,2014-05-12,2014-05-14,439,1259.0
California,2014-04-07,2014-04-09,440,634.0
Idaho,2014-09-30,2014-09-30,441,1261.0
Alaska,2014-09-16,2014-09-19,442,513.0
Kansas,2014-07-30,2014-07-31,443,1319.0
Delaware,2014-07-01,2014-07-04,444,818.0
Nevada,2014-04-19,2014-04-19,445,536.0
Washington,2014-09-04,2014-09-06,446,901.0
Idaho,2014-07-21,2014-07-21,447,1412.0
Oklahoma,2014-01-24,2014-01-26,448,655.0
New York,2014-03-01,2014-03-04,449,715.0
Texas,2014-11-22,2014-11-24,450,1066.0
California,2014-01-24,2014-01-24,451,832.0
Arkansas,2014-10-25,2014-10-28,452,1155.0
Alaska,2014-10-02,2014-10-04,453,569.0
Illinois,2014-04-19,2014-04-19,454,1581.0
Mississippi,2014-08-28,2014-08-28,455,510.0
Kansas,2014-11-01,2014-11-02,456,1166.0
Maine,2014-04-14,2014-04-14,457,226.0
Delaware,2014-07-14,2014-07-17,458,947.0
Indiana,2014-01-12,2014-01-14,459,739.0
Nevada,2014-03-28,2014-03-28,460,335.0
Arkansas,2014-12-24,2014-12-26,461,1296.0
Oregon,2014-07-18,2014-07-18,462,817.0
Washington,2014-08-13,2014-08-15,463,985.0
Texas,2014-05-18,2014-05-18,464,1573.0
Louisiana,2014-07-17,2014-07-18,465,1637.0
Nevada,2014-02-25,2014-02-26,466,440.0
Kansas,2014-09-12,2014-09-12,467,1089.0
Texas,2014-08-29,2014-08-30,468,1113.0
Ohio,2014-01-17,2014-01-20,469,623.0
Missouri,2014-04-28,2014-05-01,470,1306.0
Missouri,2014-07-16,2014-07-16,471,1305.0
Indiana,2014-01-23,2014-01-23,472,641.0
Mississippi,2014-02-02,2014-02-03,473,736.0
Delaware,2014-06-08,2014-06-10,474,756.0
Nebraska,2014-04-20,2014-04-20,475,636.0
New York,2014-01-21,2014-01-23,476,893.0
Oregon,2014-04-07,2014-04-10,477,644.0
Oregon,2014-09-02,2014-09-02,478,705.0
Oklahoma,2014-10-28,2014-10-31,479,539.0
Kansas,2014-09-20,2014-09-22,480,1271.0
Washington,2014-12-07,2014-12-10,481,844.0
Ohio,2014-01-05,2014-01-06,482,737.0
Idaho,2014-05-21,2014-05-22,483,1380.0
Florida,2014-12-06,2014-12-09,484,681.0
Nevada,2014-08-17,2014-08-18,485,360.0
Ohio,2014-05-01,2014-05-03,486,701.0
Mississippi,2014-05-26,2014-05-29,487,761.0
Ohio,2014-01-23,2014-01-23,488,762.0
Nevada,2014-03-29,2014-03-29,489,500.0
Texas,2014-10-01,2014-10-04,490,1257.0
Oregon,2014-03-09,2014-03-09,491,815.0
Washington,2014-11-09,2014-11-11,492,999.0
Maine,2014-02-18,2014-02-20,493,368.0
Illinois,2014-04-02,2014-04-04,494,1363.0
Oklahoma,2014-08-24,2014-08-27,495,651.0
Maine,2014-05-11,2014-05-14,496,471.0
Florida,2014-06-16,2014-06-17,497,892.0
Nebraska,2014-02-22,2014-02-22,498,902.0
Delaware,2014-11-08,2014-11-11,499,786.0
Ohio,2014-12-05,2014-12-06,500,667.0
New Mexico,2014-10-14,2014-10-16,501,1118.0
Alaska,2014-06-07,2014-06-10,502,633.0
Nevada,2014-01-07,2014-01-07,503,342.0
New York,2014-04-15,2014-04-16,504,749.0
Montana,2014-12-08,2014-12-09,505,810.0
Georgia,2014-09-12,2014-09-14,506,1282.0
Kansas,2014-09-13,2014-09-15,507,1187.0
Montana,2014-07-05,2014-07-08,508,989.0
Louisiana,2014-05-20,2014-05-22,509,1352.0
Nebraska,2014-09-30,2014-10-02,510,788.0
Nevada,2014-01-06,2014-01-06,511,675.0
California,2014-05-13,2014-05-15,512,711.0
Nebraska,2014-04-21,2014-04-24,513,635.0
Kansas,2014-07-24,2014-07-27,514,1295.0
Texas,2014-10-10,2014-10-13,515,1169.0
Florida,2014-07-27,2014-07-28,516,997.0
New Mexico,2014-04-28,2014-04-30,517,1067.0
Oregon,2014-05-14,2014-05-14,518,812.0
California,2014-02-19,2014-02-21,519,807.0
Iowa,2014-08-29,2014-08-29,520,1173.0
Missouri,2014-10-27,2014-10-30,521,1151.0
Texas,2014-09-11,2014-09-13,522,1309.0
Indiana,2014-06-17,2014-06-19,523,579.0
Missouri,2014-08-31,2014-09-01,524,992.0
Missouri,2014-06-02,2014-06-03,525,1192.0
Idaho,2014-12-02,2014-12-04,526,1248.0
Indiana,2014-03-18,2014-03-21,527,480.0
Illinois,2014-11-06,2014-11-07,528,1318.0
Kansas,2014-04-22,2014-04-25,529,1190.0
Washington,2014-06-28,2014-06-30,530,893.0
Alaska,2014-02-07,2014-02-07,531,623.0
Delaware,2014-11-10,2014-11-10,532,855.0
Oklahoma,2014-04-18,2014-04-19,533,489.0
Illinois,2014-10-15,2014-10-16,534,1391.0
Texas,2014-11-09,2014-11-12,535,1321.0
Ohio,2014-01-21,2014-01-21,536,778.0
Mississippi,2014-09-05,2014-09-07,537,383.0
Montana,2014-10-11,2014-10-13,538,905.0
Nevada,2014-04-27,2014-04-28,539,650.0
Ohio,2014-09-12,2014-09-13,540,598.0
Idaho,2014-12-11,2014-12-13,541,1194.0
Nevada,2014-05-08,2014-05-09,542,558.0
Oregon,2014-01-09,2014-01-09,543,879.0
Idaho,2014-07-24,2014-07-25,544,1501.0
Missouri,2014-10-29,2014-11-01,545,1111.0
Florida,2014-09-23,2014-09-23,546,913.0
Maine,2014-04-16,2014-04-17,547,239.0
Oregon,2014-09-26,2014-09-28,548,749.0
Ohio,2014-01-23,2014-01-26,549,805.0
Oklahoma,2014-05-06,2014-05-09,550,751.0
Arkansas,2014-10-30,2014-11-02,551,1140.0
