id,name,game,round,boardPosition
145,PRECIOUS STONES,12,0,3
146,IF THEY MARRIED...,14,0,3
147,PRESIDENTS,9,2,0
148,ALSO A CURRENT SUPREME COURT JUSTICE,13,0,3
149,AROUND THE CELL,17,0,0
150,SWEET,11,0,3
151,ENGLISH LIT,15,0,4
152,ALL THAT JAZZ,16,0,1
153,WORD &quot;PLA&quot;Y,7,1,5
154,ANCIENT ROMAN STAND-UP COMEDY,18,0,0
155,PATRIOTS,14,0,4
156,BAHRAIN,19,0,0
157,LET'S GET MEDICAL,12,0,4
158,ADD A &quot;PIN&quot;CH,13,0,4
159,BALLROOM BLITZ,11,0,4
160,FISHING FOR VOCABULARY,17,0,1
161,FOREIGN WORDS &amp; PHRASES,14,0,5
162,KOALA TIME,16,0,2
163,TAKE IN ORDER!,15,0,5
164,BRITISH MONARCHS,7,2,0
165,AMERICANA,14,1,0
166,QUASI-RELATED PAIRS,12,0,5
167,THE 3rd FILM IN THE SERIES,18,0,1
168,POP CULTURE,19,0,1
169,FOR GOOD MEASURE,13,0,5
170,SILENT &quot;P&quot;,11,0,5
171,IN OLD ENCYCLOPEDIAS,20,0,0
172,WEBSITES,18,0,2
173,BRIDGES TO THE FUTURE,19,0,2
174,WHAT A MYTHTAKE!,16,0,3
175,JOHN RITTER,12,1,0
176,CALCULUS,15,1,0
177,LET'S VISIT BOTSWANA,13,1,0
178,HEIR OF THE DAG,11,1,0
179,"MONEY, MONEY, MONEY",17,0,2
180,PUNK,14,1,1
181,PBS's ELECTRIC COMPANY,20,0,1
182,YANGTZE DOODLE,18,0,3
183,RANKS &amp; TITLES,16,0,4
184,BIG SCREEN BIOS,11,1,1
185,CHART TOPPERS,15,1,1
186,TOUGH LIT,12,1,1
187,I'VE GOT SUPERNATURAL POWERS,17,0,3
188,TV TITLE PAIRS,13,1,1
189,VICTORY IS OURS,14,1,2
190,GEOGRAPHY,15,1,2
191,GO ON A DIET,18,0,4
192,GREAT BRITS,19,0,3
193,HODGEPODGE,20,0,2
194,YOU HAD TO EXPECT SHAKESPEARE,11,1,2
195,BLOGS,15,1,3
196,PROVERBIOS EN ESPAÃ‘OL,18,0,5
197,THEY'RE ALL WINNERS!,17,0,4
198,THE INTERNATIONAL SPY MUSEUM,12,1,2
199,BIRTHIN' BABIES,13,1,2
200,GREAT MOMENTS IN HISTORY,11,1,3
201,FIVE EASY PEACES,15,1,4
202,A BRIEF HISTORY OF THYME,19,0,4
203,YOU ARE WHAT YOU EAT,16,0,5
204,FLOWERS,18,1,0
205,SPLIT OWNERSHIP,20,0,3
206,THIS IS GONNA BE TOUGH,14,1,3
207,WINNER OF OUR DISCONTENT,12,1,3
208,BIBLE BOOKS BY FAMOUS PHRASE,14,1,4
209,BUSINESS,13,1,3
210,A WORLD OF POTPOURRI,11,1,4
211,GAME OVER,17,0,5
212,NATIONAL BOOK CRITICS CIRCLE HONOREES,16,1,0
213,STARBUCKS,20,0,4
214,WORD ORIGINS,15,1,5
215,LINGUA TECHNA,11,1,5
216,WISH I'D SAID THAT,14,1,5
217,BROADWAY CROSSWORD CLUES &quot;T&quot;,19,0,5
218,PICTURESQUE,12,1,4
219,THE GREAT AMERICAN SONGBOOK,18,1,1
220,I DON'T GIVE A &quot;WHIT&quot;,20,0,5
221,TAKING YOUR LUMPS,16,1,1
222,AROUND THE CELL,17,1,0
223,FIRST LADIES,11,2,0
224,HOW DO YOU...,16,1,2
225,ADJECTIVES,12,1,5
226,CHILDREN'S AUTHORS,14,2,0
227,POLITICIANS,13,1,4
228,SCIENCE &amp; NATURE,19,1,0
229,IN THE SMITHSONIAN,21,0,0
230,AFRICAN CAPITALS,20,1,0
231,AMERICANISMS,15,2,0
232,MOVIE MUSICALS,17,1,1
233,ALBUMS,20,1,1
234,PULITZER PRIZE WINNERS,12,2,0
235,THE JOHNNY GILBERT &quot;BLUE&quot;s,16,1,3
236,SCIENCE &amp; NATURE,22,0,0
237,MUSEUMS,18,1,2
238,&quot;TOC&quot;,13,1,5
239,METER MAIDS,17,1,2
240,ART &amp; ARTISTS,19,1,1
241,THE DONALD,21,0,1
242,THE DECLARATION OF INDEPENDENCE,23,0,0
243,THE ART WORLD,24,0,0
244,OPERA,20,1,2
245,ART SUBJECTS,13,2,0
246,A YEAR IN THE LIFE OF HERBERT HOOVER,17,1,3
247,THIS WAY TO THE EGRESS,16,1,4
248,SPORTS VENUES,22,0,1
249,A CAJUN CATEGORY,19,1,2
250,GEOGRAPHY &quot;B&quot;,25,0,0
251,LITERATURE,18,1,3
252,PLANETARY DISTINCTIONS,21,0,2
253,TOOL TIME,24,0,1
254,COWBOY SONGS,23,0,1
255,LETTERS IN SEQUENCE,16,1,5
256,THE WOMEN OF CONGRESS,18,1,4
257,TOP 40 MATH,19,1,3
258,2 PICTURES SAY 1 WORD,22,0,2
259,THERE ARE PLACES,24,0,2
260,TV WEAPONS,25,0,1
261,RENAISSANCE ART,20,1,3
262,20th CENTURY SHIPS,16,2,0
263,DESPOTPOURRI,17,1,4
264,WORD &amp; PHRASE ORIGINS,23,0,2
265,JOE THE FARMER,21,0,3
266,JEOPORTMANTEAU!,18,1,5
267,WIDE WORLD OF WEIRD WORDS,17,1,5
268,CHAT ROOM LINGO,22,0,3
269,THE VEEP,19,1,4
270,MEDALS &amp; DECORATIONS,21,0,4
271,THE TOOTH OF THE MATTER,26,0,0
272,SPANIARDS,24,0,3
273,A YEN FOR JAPAN,25,0,2
274,GEOGRAPHY IN LITERATURE,17,2,0
275,HUMAN EVOLUTION,20,1,4
276,4X4,26,0,1
277,ACTORS &amp; ACTRESSES,24,0,4
278,LETTER PERFECT,19,1,5
279,THE OLYMPICS,27,0,0
280,AARON BURR,22,0,4
281,DUMB CRIMINALS,26,0,2
282,FAMILY MEMBERS,25,0,3
283,19th CENTURY NAMES,18,2,0
284,WORD ORIGINS,21,0,5
285,DICKENS BOOKS BY CHARACTERS,23,0,3
286,POETS,19,2,0
287,GONE FISHIN',24,0,5
288,TRACK &amp; FIELD,27,0,1
289,GOT MILK?,22,0,5
290,SEARCH: ENGINES,20,1,5
291,ORGANIZED RELIGION,28,0,0
292,TRICKY QUESTIONS,23,0,4
293,1920s AMERICA,24,1,0
294,THE CHURCH LADY,25,0,4
295,HISPANIC HERITAGE,21,1,0
296,PRESIDENTS BY KIDS,29,0,0
297,THE 2004 PRESIDENTIAL RACE,22,1,0
298,&quot;Y&quot;s GUYS,24,1,1
299,ACRONYMS,20,2,0
300,STOP PULLING MY CHENEY,23,0,5
301,ACTRESSES,28,0,1
302,LYRICS FROM MUSICALS,26,0,3
303,ISN'T THAT SPATIAL?,25,0,5
304,HOCKEY,29,0,1
305,"IT'S VEGAS, BABY!",24,1,2
306,JACKS OR BETTER,22,1,1
307,CYCLING,27,0,2
308,THE VIKINGS,30,0,0
309,A BYZANTINE CATEGORY,21,1,1
310,AVIATION,22,1,2
311,BYE BYE BIRDIE,26,0,4
312,DISCOVERY,23,1,0
313,FLY ME TO THE MOON,24,1,3
314,"FOOD, GLORIOUS FOOD",29,0,2
315,&quot;LONG&quot; JUMP,27,0,3
316,WORLD HISTORY,25,1,0
317,THEATRICAL ANGELS,21,1,2
318,LICENSE PLATE SLOGANS,28,0,2
319,WE LOVE YOU CONRAD,26,0,5
320,COMEDY CENTRAL,23,1,1
321,WHICH TV SHOW CAME FIRST?,30,0,1
322,SHE SELLS SEYCHELLES,22,1,3
323,SONG LYRICS,25,1,1
324,POLL VAULT,27,0,4
325,HOME &amp; GARDEN,23,1,2
326,BILLIE HOLIDAY,24,1,4
327,HUMANITARIAN LADIES,29,0,3
328,OCEANIA,28,0,3
329,VASES &amp; URNS,21,1,3
330,BRAND NAMES,30,0,2
331,THE AMERICAN REVOLUTION,26,1,0
332,LITERARY PAIRS,25,1,2
333,CATHOLICISM,30,0,3
334,STRANGE FRUIT,24,1,5
335,NICKNAMES,29,0,4
336,RANCH DRESSING,28,0,4
337,LIFETIME,23,1,3
338,JIM-NASTICS,27,0,5
339,HOMOPHONIC NAMES,22,1,4
340,____ AND ____,26,1,1
341,ROD STEWART,21,1,4
342,NURSERY RHYMES,30,0,4
343,FROM A TO E,25,1,3
344,&quot;ICK&quot;Y WORDS,29,0,5
345,STYLE,23,1,4
346,ENDS IN &quot;GHT&quot;,22,1,5
347,MEN OF SCIENCE,24,2,0
348,ART APPRECIATION,25,1,4
349,THE UNIVERSITY OF CHICAGO,27,1,0
350,small state capitals,26,1,2
351,WORLD LIT,29,1,0
352,&quot;D&quot; FACTO,28,0,5
353,DO YA THINK I'M &quot;SEX&quot;Y?,21,1,5
354,&quot;CC&quot; ME ON THAT,30,0,5
355,OTHER USES FOR ANIMALS,25,1,5
356,POETS,22,2,0
357,ANIMALS,31,0,0
358,LIVIN' IN THE '80s,26,1,3
359,WHATEVER HAPPENED TO...,29,1,1
360,THIS MOVIE IS &quot;DEAD&quot;,27,1,1
361,STATE CAPITALS,32,0,0
362,AMERICANA,21,2,0
363,THE ITALIAN RENAISSANCE,28,1,0
364,2004,25,2,0
365,SEE &quot;NN&quot;,23,1,5
366,MATH,29,1,2
367,THE ADLER PLANETARIUM,30,1,0
368,CLASSICAL MUSIC,27,1,2
369,MUSIC IN &quot;C&quot;,28,1,1
370,ALL I WANT FOR CHRISTMAS IS...,31,0,1
371,RATED PG,32,0,1
372,GOING TO THE DOCTOR,33,0,0
373,4-LETTER MUSICAL INSTRUMENTS,26,1,4
374,YELLOWSTONE NATIONAL PARK,34,0,0
375,LAKE CITY,29,1,3
376,WESTERN HEMISPHERE GEOGRAPHY,23,2,0
377,MOVIE MUNCHABLES,32,0,2
378,WHAT DO YOU &quot;C&quot;?,26,1,5
379,I NEED BACKUP,30,1,1
380,NONFICTION,35,0,0
381,GET A JOB!,31,0,2
382,CHORES,33,0,1
383,THE HOLE TRUTH,29,1,4
384,TV SHOW ROLL CALL,34,0,1
385,LITERARY ANALYSIS,28,1,2
386,MRS. LINCOLN,27,1,3
387,TENNESSEE,30,1,2
388,NOTHING &quot;BUT&quot;,29,1,5
389,BUNNIES IN BOOKS,32,0,3
390,1920s TRANSPORTATION,26,2,0
391,WOMEN IN SPORTS,35,0,1
392,FAMOUS AMERICANS,29,2,0
393,BRUSSELS SPROUTS,33,0,2
394,"NUMBER, PLEASE",34,0,2
395,CRAYOLA COLORS,32,0,4
396,DATE &amp; PLACE,36,0,0
397,U.S. GEOGRAPHY,37,0,0
398,BOOK SERIES,31,0,3
399,WHEEL OF JEOPARDY!,32,0,5
400,FOOD HISTORY,30,1,3
401,SWEET SIXTEEN,28,1,3
402,SHAKESPEARE'S KINGS &amp; QUEENS,27,1,4
403,HOMEWORK,33,0,3
404,GENERAL SCIENCE,32,1,0
405,FAMILIAL SONG TITLES,37,0,1
406,&quot;B&quot;EOPLE,35,0,2
407,WHITE HOUSE BEFORE &amp; AFTER,27,1,5
408,SINGERS,32,1,1
409,BEDTIME,33,0,4
410,LITERATURE,34,0,3
411,GENESIS,36,0,1
412,HOW DO YOU...,32,1,2
413,"STOP IT, YOU'RE KILLING ME!",28,1,4
414,NUMBER PATTERNS,31,0,4
415,1959,35,0,3
416,&quot;NO&quot; FUN,33,0,5
417,FAMOUS NAMES,27,2,0
418,RED ALERT!,37,0,2
419,AUTHORS BEFORE &amp; AFTER,30,1,4
420,NOTHIN' BUT &quot;A&quot;s,31,0,5
421,FAMOUS NAMES,34,0,4
422,HISTORY,33,1,0
423,AMERICAN HEROES,32,1,3
424,YOU ARE SO HOT!,36,0,2
425,HISTORY PROBLEMS,38,0,0
426,VICE PRESIDENTIAL RHYME TIME,28,1,5
427,18th CENTURY AMERICA,31,1,0
428,PRESIDENTIAL CAMPAIGNS,37,0,3
429,CELEBRITIES,33,1,1
430,THE HISTORY OF DISNEYLAND,32,1,4
431,I'VE GOT AN &quot;ITCH&quot;,34,0,5
432,WHILE YOU WERE &quot;OUT&quot;,30,1,5
433,ARTS &amp; CRAFTS,35,0,4
434,SOUNDS,36,0,3
435,BUMPER STICKERS?,37,0,4
436,U.S. STAMPS,33,1,2
437,NICK BEFORE NIGHT,38,0,1
438,FAMOUS PAIRS,28,2,0
439,THE LION KING ON BROADWAY,31,1,1
440,THE WORLD OF WORDS,32,1,5
441,BROADWAY MUSICALS,30,2,0
442,PROVERBIALLY SPEAKING,35,0,5
443,BALLET &amp; OPERA,34,1,0
444,SURVIVOR: CONGRESS,39,0,0
445,LIVIN' LA VIDA YOKO,36,0,4
446,ELECTION TIME,33,1,3
447,COMPUTING 101,38,0,2
448,&quot;J&quot; WALKING,37,0,5
449,THE OLYMPICS,32,2,0
450,OUTDOORS,31,1,2
451,THE MOST POPULOUS NATION,40,0,0
452,ISLANDS,35,1,0
453,KIDS IN THE 1960s,33,1,4
454,WHATCHA GOT COOKING?,39,0,1
455,"DUDE, WHERE'S MY CARB?",36,0,5
456,VOCABULARY TEST,34,1,1
457,AMERICAN HISTORY,41,0,0
458,RUSSIAN CULTURE,37,1,0
459,ANATOMICAL HOMONYMS,33,1,5
460,MR. NOODLE,38,0,3
461,DAYTON PLACE,36,1,0
462,THE EARLY 20th CENTURY,33,2,0
463,SIGNS &amp; SYMBOLS,31,1,3
464,A HIT TWICE,35,1,1
465,POP CULTURE,41,0,1
466,SPORTS TERMS,40,0,1
467,PALINDROMIC PLACES,31,1,4
468,THIS CATEGORY IS ABBREVIATED,39,0,2
469,WHEN THEY WERE KIDS,34,1,2
470,BIG SCREEN BIO SUBJECTS,37,1,1
471,U.S. MILITARY MEN,35,1,2
472,BEST DRAMATIC ACTOR TONY WINNERS,36,1,1
473,GUNSMOKE,42,0,0
474,GARDENS,40,0,2
475,ANYTHING BUT A's,31,1,5
476,THE NIGHTTIME SKY,34,1,3
477,PRESIDENTS' CHILDREN,38,0,4
478,"HEY, IT'S RAINING!",41,0,2
479,THE CIA,36,1,2
480,AIRPORTS,39,0,3
481,BEER BRANDS,35,1,3
482,LEAVE IT TO BEAVER,42,0,1
483,CHILDREN IN LITERATURE,37,1,2
484,COOKING CLASS,34,1,4
485,KIDSPEAK,38,0,5
486,PLANT PARENTHOOD,36,1,3
487,FIRST CLASS,39,0,4
488,AROUND THE BODY,35,1,4
489,SHIPS,40,0,3
490,HOOP OF THE DAY,34,1,5
491,POTENTATE POTABLES,37,1,3
492,FAMOUS FIRSTS,31,2,0
493,GEOGRAPHY &quot;B&quot;,38,1,0
494,YOU BET YOUR &quot;LIFE&quot;,42,0,2
495,O FOR A,35,1,5
496,THE BIBLE TELLS ME SO,41,0,3
497,KATZ IN THE CRADLE,36,1,4
498,REPORTING FROM THE WHITE HOUSE,43,0,0
499,COACH,39,0,5
500,EMILY POST-ER CHILD,40,0,4
501,U.S. GEOGRAPHY,34,2,0
502,WHAT'S MY LINE,42,0,3
503,AUTHORS,35,2,0
504,THE YOU-NIVERSE,38,1,1
505,&quot;PH&quot;UN WORDS,36,1,5
506,SEARCH: LIGHT,40,0,5
507,"ENTER &amp; DESIGN IN, PLEASE",37,1,4
508,VIDEO GAMES,43,0,1
509,BRINGING HOME THE BACON,44,0,0
510,PITS BURG,45,0,0
511,FOOD FOR THOUGHT,41,0,4
512,FILMS OF THE '70s,36,2,0
513,MONKEY BUSINESS,45,0,1
514,IT&rsquo;S A MONARCHY,43,0,2
515,CIVIL WAR PEOPLE,38,1,2
516,AQUATIC LIFE,39,1,0
517,FATHER KNOWS BEST,42,0,4
518,LAW REVIEW,40,1,0
519,&quot;RE&quot;RUNS,37,1,5
520,BEFORE I WAS ELECTED,44,0,1
521,CREAM,46,0,0
522,3-LETTER WORDS,41,0,5
523,THEY DO GOOD WORK,43,0,3
524,OLD SONGS,40,1,1
525,I KNOW THAT SONG,38,1,3
526,EVEs,39,1,1
527,SUNSHINE,46,0,1
528,CLASSICAL MUSIC,41,1,0
529,THAT'S SO RANDOM!,45,0,2
530,POPULATIONS,37,2,0
531,BASEBALL IN THE '60s,44,0,2
532,'50s TV,42,0,5
533,OF YOUR &quot;LOVE&quot;,46,0,2
534,COLLEGES &amp; UNIVERSITIES,43,0,4
535,THE MIDDLE AGES,47,0,0
536,CREATURE CULTURE,38,1,4
537,HOPE YOU'RE WELL READ...,40,1,2
538,NAME THAT CENTURY,45,0,3
539,STRANGE BREW,46,0,3
540,SPORTS MOVIES BY CHARACTERS,41,1,1
541,KNIGHTS &amp; KNIGHTHOOD,42,1,0
542,STATE-LY HOMES,39,1,2
543,IT'S ELEMENTAL,44,0,3
544,HOLIDAYS AND OBSERVANCES,45,0,4
545,CROSSROADS,46,0,4
546,COLORFUL RHYME TIME,38,1,5
547,"TOP OF THE CHARTS, MA!",42,1,1
548,&quot;Y&quot;? BECAUSE WE LIKE YOU!,43,0,5
549,CROSSWORD CLUES &quot;C&quot;,40,1,3
550,THE NEW YORK STOCK EXCHANGE,41,1,2
551,WOMEN ON TV,47,0,1
552,BIBLICAL WEIGHTS AND MEASURES,38,2,0
553,TALES OF BRAVE ULYSSES,46,0,5
554,THAT DON'T SOUND RIGHT,39,1,3
555,STUPID ANSWERS,44,0,4
556,REMEMBER 1995?,48,0,0
557,&quot;I&quot; LADS,42,1,2
558,GET A DEGREE,45,0,5
559,WEIRD HISTORY,43,1,0
560,ART FOR ART'S SAKE,39,1,4
561,"I'M A PEPPER, YOU'RE A PEPPER",47,0,2
562,HURRY UP!!!,40,1,4
563,FOREIGN ANIMAL NOISES,44,0,5
564,COUNTRY MATTERS,42,1,3
565,TITLE WAVE,41,1,3
566,LEFT TO MY OWN DEVICES,46,1,0
567,AMERICAN LITERATURE,45,1,0
568,FIRST NAME'S THE SAME,48,0,1
569,BIBLICAL NAME'S THE SAME,42,1,4
570,COLLEGE FOOTBALL,45,1,1
571,BRINGING HOME KEVIN BACON,44,1,0
572,EVENTS IN THE OLYMPIC DECATHLON,46,1,1
573,ODD ANIMAL FACTS,47,0,3
574,U.S. CITIES,41,1,4
575,WHAT'S THE RUSHMORE?,40,1,5
576,ORGANIZATIONS,48,0,2
577,FILMS OF THE 21st CENTURY,43,1,1
578,SHAKESPEAREAN RHYME TIME,39,1,5
579,5-LETTER WORDS,42,1,5
580,MERRIE OLDE ENGLAND,45,1,2
581,WASHINGTON'S NATIONAL CATHEDRAL,46,1,2
582,OCEAN NOTIONS,44,1,1
583,ART SCHOOL,48,0,3
584,I WANT MY SUV,47,0,4
585,HISTORIC FIRSTS,40,2,0
586,DA OLOGY SHOW,43,1,2
587,SPECIAL &quot;K&quot;,41,1,5
588,IT'S ALL GREEK TO ME,46,1,3
589,RESUMÃ‰S OF WORLD LEADERS,45,1,3
590,U.S. TRAVEL AND TOURISM,42,2,0
591,&quot;T&quot;-HE,44,1,2
592,THE TRUMAN LIBRARY,49,0,0
593,FLOWER,50,0,0
594,HISTORIC AREAS,39,2,0
595,AWARDS &amp; HONORS,46,1,4
596,TANGLED UP IN &quot;BLUE&quot;,47,0,5
597,TRASH TALKIN',43,1,3
598,PITTSTORY,51,0,0
599,EITHER/OR,48,0,4
600,LETTER PERFECT,46,1,5
601,MATH &amp; SCIENCE,47,1,0
602,SEMIANNUAL PUBLICATIONS,41,2,0
603,NONMUSICAL MTV,51,0,1
604,DOUGH,50,0,1
605,PLAQUES,44,1,3
606,DO &quot;TELL&quot;,49,0,1
607,TRAVEL,43,1,4
608,BETTER LIVING THROUGH CHEMSITRY,45,1,4
609,LITERATURE,46,2,0
610,TO PHRASE A COIN,48,0,5
611,ROCKS &amp; STUFF,52,0,0
612,A WORLD OF BOOKS,44,1,4
613,8-LETTER WORDS,44,1,5
614,HORNED ANIMALS,51,0,2
615,CHEESE,50,0,2
616,FIRST ELECTED OFFICE,53,0,0
617,BY TWAIN,43,1,5
618,&quot;DON'T&quot; FORGET THIS SONG,47,1,1
619,I PLAYED 'EM ON TV,52,0,1
620,THESE WORDS ARE IN JEOPARDY!,45,1,5
621,BOTTOM OF THE NINTH,49,0,2
622,ROYALTY,44,2,0
623,NOVELTY SONGS,48,1,0
624,RETITLED CINEMA,53,0,1
625,U.S. CITIES,54,0,0
626,FRATERNITY SUIT,51,0,3
627,THE UPPER CRUST,50,0,3
628,LAND O' LAKES,47,1,2
629,ON THE GLOBE,45,2,0
630,"IF YOU GROW IT, THEY WILL EAT",49,0,3
631,WHEN THEY WERE IN COLLEGE,54,0,1
632,WORLD FLAGS,43,2,0
633,A DATE WITH HISTORY,53,0,2
634,POETRY,51,0,4
635,FAMOUS FRIENDSHIPS,52,0,2
636,DOUBLE DOWN,53,0,3
637,&quot;DEEP&quot; DISH,50,0,4
638,MY NAME IS ALEX,55,0,0
639,WHAT'S THAT WORD...?,51,0,5
640,HELLO MOTHER,48,1,1
641,PLACES FOR ANIMALS,56,0,0
642,CHAMPAGNE MUSIC,49,0,4
643,OPRAH'S BOOK CLUB,47,1,3
644,WE WANT PISA!,50,0,5
645,BESTSELLERS,54,0,2
646,MOVIE TITLE TRANSLATIONS,55,0,1
647,AIRPORT CODES,53,0,4
648,THE 20th CENTURY,50,1,0
649,PITT STORY,51,1,0
650,STUPID ANSWERS,56,0,1
651,HELLO FODDER,48,1,2
652,SHALL WE GDANSK?,49,0,5
653,NASA PRODUCTS,52,0,3
654,LAST YEAR'S NEWS,54,0,3
655,ALBUMS,50,1,1
656,ENGLISH LITERATURE,55,0,2
657,&quot;Z&quot; END,53,0,5
658,OFFICIAL STATE FOOD &amp; DRINK,47,1,4
659,THE ENLIGHTENMENT,51,1,1
660,HERE I AM AT...,48,1,3
661,PHYSICS,54,0,4
662,YOUR HITTITE PARADE,49,1,0
663,THINGS TO GIVE THANKS FOR,52,0,4
664,COLLEGE HODGEPODGE,55,0,3
665,ROAD TRIPPING,56,0,2
666,ASIA,53,1,0
667,FOREIGN TRAVEL,50,1,2
668,STAR WARS,49,1,1
669,FAMILIAR PHRASES,47,1,5
